,ingredients,Calcium,Carbohydrate,Cholesterol,Fatty_acids_total_saturated,Fatty_acids_total_trans,Fiber,Iron,Protein,Sodium,Sugars,Fat,Energy
0,"a blend of grape, pineapple, pear and apple juice concentrates and other ingredients contains high fructose corn syrup, pure filtered water, concentrated grape juice, 1 concentrated pineapple, pear and apple juices, natural flavors, citric acid , grape skin extract , sugar",0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.33,0.0,183.0
1,"a mixture of arugula, broccoli, amaranth, beet tops, parsley, radish, kale or others",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
2,"a seasonal blend of organic greens such as: organic kale, organic tuscan kale, organic red kale, organic collard, organic chard",146.0,7.04,0.0,0.0,0.0,3.5,1.41,3.52,70.0,1.41,0.7,42.0
3,"a spicy yet flavorful sea salt blend ingredients: jalapeno chile, sea salt, garlic flakes, garlic granules, cilantro, organic rice hull, mexican oregano made from pure sea salt and a mix of 4 smoky sweet red chiles ingredients: new mexico chile, sea salt, pasilla negra chile, guajillo chile, ancho chile, organic rice hull",14.0,17.57,0.0,0.0,0.0,1.4,0.73,2.03,0.0,0.68,0.0,74.0
4,a water extract of dried prunes,8.0,20.83,0.0,0.0,0.0,0.8000000000000002,0.75,0.42,15.0,9.58,0.0,83.0
5,abalone mushroom water and salt,10.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,284.0,0.0,0.0,8.0
6,"acai , kale, strawberries, apple, blueberries",44.0,8.8,0.0,0.59,0.0,2.3,0.42,1.47,10.0,5.28,1.76,56.0
7,"acai puree , bananas , kiwi, mango, topping , honey, dragon fruit, and citric acid",0.0,21.76,0.0,1.18,0.0,3.5,0.59,1.76,0.0,12.94,3.53,129.0
8,"acai puree , bananas , pineapple, blueberries, topping , honey, almond butter, pea protein powder, and citric acid",18.0,21.76,0.0,0.59,0.0,3.5,0.59,2.94,9.0,13.53,4.12,135.0
9,"acai puree , bananas , strawberries, blueberries, granola topping , honey, and citric acid",0.0,20.59,0.0,1.18,0.0,4.1,0.59,1.76,0.0,11.18,3.53,124.0
10,"acai, filtered water, sugar, guarana extract powder, citric acid",15.0,13.0,0.0,1.5,0.0,3.0,0.0,1.0,10.0,10.0,6.0,110.0
11,"acai, red grape , strawberry, avocado, blueberry, chia seeds , cauliflower",30.0,11.11,0.0,0.51,0.0,4.0,0.51,1.01,10.0,6.06,4.04,81.0
12,acerola puree,20.0,6.0,0.0,0.0,0.0,1.0,0.36,0.0,10.0,2.0,0.0,25.0
13,"ackee, water and salt",0.0,0.0,0.0,4.72,0.0,0.0,0.0,3.77,377.0,0.0,13.21,151.0
14,"ackee, water, & salt",40.0,0.01,0.0,3.5,0.0,2.0,1.08,4.0,125.0,0.0,9.0,140.0
15,"ackee, water, salt",40.0,11.0,0.0,3.5,0.0,2.0,1.4400000000000002,4.0,125.0,4.0,9.0,140.0
16,"ackee, water, salt, citric acid",22.0,10.99,0.0,3.85,0.0,3.3,5.49,2.2,176.0,3.3,10.99,154.0
17,"ackees, water and salt",40.0,11.0,2500.0,3.5,0.0,2.0,1.08,4.0,125.0,2.0,9.0,140.0
18,"ackees, water, salt",40.0,11.0,0.0,1.7,0.0,2.0,1.08,4.0,125.0,0.0,9.0,140.0
19,acorn squash,33.0,10.59,0.0,0.0,0.0,1.2,0.69,1.18,0.0,2.35,0.0,47.0
20,adzuki beans,82.0,63.27,0.0,0.0,0.0,12.2,5.51,20.41,0.0,0.0,0.0,327.0
21,"agave syrup 40, apricot 35, dietary fiber 5, pectin, lemon juice, vitamin c",0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,160.0
22,"agave syrup 40, orange 35, dietary fiber 5, pectin, citric acid, ascorbic acid",0.0,40.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,33.33,0.0,173.0
23,"agave syrup 40, strawberries 35, dietary fiber 5, pectin, citric acid, ascorbic acid",0.0,46.669999999999995,0.0,0.0,0.0,6.7,0.0,0.0,0.0,40.0,0.0,200.0
24,"agents: citric acid, color carmine, eggs, canola oil, water, caramel filling {corn syrup , high fructose corn syrup, water, sugar vegetable shortening , dextrose, modified food starch , butter , nonfat dry milk contains 2 or less of each of the following: natural and artificial flavor, mono- and diglycerides, caramel color, salt, potassium sorbate , sodium propionate , yellow 5, red 40, blue 1}, white chocolate curls {sugar, cocoa butter, whole milk powder, lactose, soy lecithin , natural vanilla}, sugar",16.0,49.6,32.0,4.8,0.0,0.4,0.58,2.4,216.0,39.2,16.8,360.0
25,"ajies dulces peppers, cilantro, recao, garlic, onion, green peppers, red peppers",0.0,7.14,0.0,0.0,0.0,3.6,1.29,0.0,0.0,0.0,0.0,36.0
26,alfalfa and clover,24.0,3.53,0.0,0.0,0.0,2.4,0.85,3.53,6.0,0.0,0.59,29.0
27,alfalfa sprouts,36.0,3.57,0.0,0.0,0.0,3.6,0.64,3.57,7.0,0.0,0.0,36.0
28,"alfalfa, clover, and radish",24.0,4.71,0.0,0.0,0.0,2.4,0.85,3.53,18.0,0.0,0.0,29.0
29,"all natural cane sugar, blueberries, pectin , lemon juice , thyme, lemon zest",0.0,80.0,0.0,0.0,0.0,0.0,1.2,0.0,33.0,66.67,0.0,300.0
30,"all natural cane sugar, blueberries, pectin , lime juice, lime zest",0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33,0.0,300.0
31,"all natural cane sugar, figs, water, lemon juice , pectin , basil, lemon zest",0.0,73.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,267.0
32,"all natural cane sugar, peaches, pectin , peppermint leaf, lemon juice",0.0,73.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,267.0
33,"all natural dehydrated apples , cane sugar, spices, and vitamin c",0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,133.0
34,"almond-brazil milk , raspberries, banana, blueberries, elderberry syrup , sea salt",22.0,13.72,0.0,0.0,0.0,2.7,0.72,0.88,66.0,7.08,0.97,61.0
35,"almondmilk , apple juice, peach puree, banana puree, pineapple juice, orange juice, soy protein isolate, natural flavors, salt",13.0,8.22,0.0,0.22,0.0,0.9,0.32,2.44,36.0,5.78,2.89,67.0
36,"almondmilk , banana puree, blueberry puree, agave, oat bran, root fiber, coconut water concentrate, lemon juice concentrate, natural flavor",8.0,9.17,0.0,0.0,0.0,1.2,0.15,0.42,21.0,7.08,0.83,46.0
37,"almondmilk , banana puree, blueberry puree, organic agave nectar, oat bran, root fiber, coconut water concentrate, lemon juice concentrate, natural flavor",6.0,9.54,0.0,0.0,0.0,1.2,0.22,0.62,22.0,7.38,0.92,46.0
38,"almonds, coconut sugar, maqui berry, lucuma, vanilla, camu",200.0,50.0,0.0,0.0,0.0,6.7,3.6,13.33,0.0,36.67,30.0,500.0
39,"aloe juice, aloe pulp , sugar, water, citric acid",0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.8,0.0,28.0
40,"aloe juice, aloe pulp , sugar, water, citric acid, guava flavor",0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.8,0.0,28.0
41,"aloe juice, aloe pulp , sugar, water, citric acid, mango flavor",0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.8,0.0,28.0
42,"aloe juice, aloe pulp , sugar, water, citric acid, pomegranate flavor",0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.8,0.0,28.0
43,"aloe juice, aloe pulp and coconut pulp , sugar, water, citric acid, coconut flavor",0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.8,0.0,28.0
44,"aloe vera 45, water, sugar, citric acid as acidity regulators, artificial muscat flavor, calcium lactate as firming agents",18.0,15.36,0.0,0.0,0.0,0.2,0.13,0.0,32.0,15.36,0.0,61.0
45,"aloe vera gel, high fructose corn syrup, honey citric acid, l-ascorbic acid, gellan gum 9food grade), calcium lactate, trisodium citrate, fd & c yellow no5 b-carotene, artificial mango flavor, purified water",20.833333333333332,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.62,0.94,56.0
46,"aloe vera gel, high fructose corn syrup, honey, citric acid, l-ascorbic acid, gellan gum , calcium lactate, trisodium citrate, fd&c yellow no 5, beta-carotene, artificial mango flavor, purified water",20.833333333333332,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.62,0.94,56.0
47,"aloe vera gel, high fructose corn syrup, honey, citric acid, l-ascorbic acid, gellan gum , calcium lactate, trisodium citrate, natural color, artificial peach flavor, purified water",21.428571428571427,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.62,0.31,50.0
48,"aloe vera gel, honey, sugar, citric acid, trisodium citrate, gellan gum , calcium lactate, calcium carbonate, fd&c yellow no 5, artificial pineapple flavor, purified water",31.666666666666668,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,44.0
49,"aloe vera gel, sugar, honey, citric acid, l-ascorbic acid, gellan gum, calcium lactate, trisodium citrate, fd&c blue no1, fd&c yellow no5, fd&c red no 40, artificial kiwi flavor, purified water",20.833333333333332,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,50.0
50,"aloe vera gel, sugar, maltodextrin, gellan gum , calcium lactate, calcium carbonate, citric acid, lascorbic acid, trisodium citric, artificial coconut flavor purefied water",20.833333333333332,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,44.0
51,"aloe vera gel,high fructose corn syrup,honey,maltodextrin, citric acid,l-ascorbic acid gellan gum,calcium lactate,trisodium citrate, natural color , fd&c blue no1,artificial grape flavor,purified water",20.833333333333332,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38,0.62,50.0
52,"aloe vera juice , aloe pulp , water, sucrose, dextrose, citric acid, grape flavor, e211",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.8999999999999997,0.0,8.0
53,"aloe vera juice , aloe pulp , water, sucrose, dextrose, citric acid, mango flavor, e211",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.8999999999999997,0.0,8.0
54,"aloe vera juice , aloe pulp , water, sucrose, dextrose, citric acid, passion fruit flavor, e211",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.8999999999999997,0.0,8.0
55,"aloe vera juice , aloe pulp, water, sucrose, dextrose, citric acid, apple flavor, e211",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.8999999999999997,0.0,8.0
56,"aloe vera juice 76 and pulp 12, glucose, citric acid, natural flavor",0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,9.0
57,"aloevera gel, sugar, honey, citric acid, ascorbic acid, gellan gum , calcium lactate, trisodium citrate, fd&c blue no 1, fd&c yellow no 5, fd&c red no 40, artificial kiwi flavor, purified water",33.333333333333336,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,80.0
58,alphonso mango pulp sugar & citric acid,58.0,25.0,0.0,0.0,0.0,6.7,1.2,0.8000000000000002,5.0,24.0,0.3,109.0
59,"altered water, cranberry juice from concentrate , grape juice concentrate, apple juice concentrate, pear juice concentrate, natural flavors, pectin, citric acid, ascorbic acid",0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.67,0.0,46.0
60,"altered water, not from concentrate pasteurized orange juice, orange juice concentrate, potassium citrate, citric acid, malic acid, magnesium phosphate, ascorbic acid , beta-carotene, purified stevia leaf extract, tocopherols , gellan gum, natural flavors, niacinamide , thiamin hydrochloride , pyridoxine hydrochloride and riboflavin",0.0,5.419999999999999,0.0,0.0,0.0,0.0,0.0,0.42,4.0,4.17,0.0,21.0
61,"amarena cherries 60, sugar, modena balsamic vinegar """"aceto balsamico di modena igp 10",0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,300.0
62,"an infusion of , cane sugar, ginger juice, lime juice concentrate, citric acid, natural flavor",0.0,8.33,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,39.0
63,"an infusion of , cane sugar, honey, ginger juice, natural flavors, vanilla extract, citric acid",0.0,12.337894736842104,0.0,0.0,0.0,0.5789473684210527,0.0736842105263158,0.0,3.0,11.48842105263158,0.0,51.31578947368421
64,"an infusion of , cane sugar, honey, natural flavors, ginger juice, vanilla extract, citric acid",0.0,13.89,0.0,0.0,0.0,0.0,0.22000000000000003,0.0,3.0,12.22,0.0,61.0
65,"an infusion of , cane sugar, natural flavor, citric acid",0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.44,0.0,17.0
66,"an infusion of , cane sugar, natural fruit flavors, gum arabic, xanthan gum, guar gum, citric acid",0.0,14.440000000000001,0.0,0.0,0.0,1.1,0.0,0.0,6.0,12.78,0.0,56.0
67,"an infusion of , cane sugar, peach juice concentrate, ginger juice, apple juice concentrate, natural flavors, citric acid",0.0,5.56,0.0,0.0,0.0,0.0,0.28,0.0,6.0,5.56,0.0,22.0
68,"anaheim chile, water, salt, citric acid, calcium chloride",333.0,3.33,0.0,0.0,0.0,3.3,0.0,0.0,250.0,3.33,0.0,17.0
69,"anaheim chiles, water, iodized salt, citric acid, calcium chloride",0.0,6.669999999999999,0.0,0.0,0.0,0.8000000000000002,0.0,0.0,533.0,3.33,0.0,33.0
70,anasazi beans,191.8,60.544000000000004,0.0,0.0,0.0,16.78,8.629999999999999,22.808,8.4,1.716,0.45599999999999996,342.2
71,"andean blackberry, antioxidant,",382.0,8.33,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,33.0
72,"appalachian spring water, grape juice concentrate, natural rose flavor, tartaric acid, malic acid, tannic acid, fruit and vegetable juice , carbon dioxide",0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,20.0
73,apple,0.0,14.289999999999997,0.0,0.0,0.0,3.2,0.23000000000000004,0.0,0.0,10.39,0.0,52.0
74,"apple , colby cheese , caramel dip",16.0,19.72,21.0,5.63,0.0,1.3999999999999997,0.0,4.93,232.0,16.2,9.15,183.0
75,"apple and cranberry juice from concentrate , natural flavors, ascorbic acid , fruit and vegetable juice , citric acid",0.0,11.81,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.55,0.0,46.0
76,"apple and grape juice concentrates, filtered water, orange, pineapple, and passion fruit juice concentrates, ascorbic acid , citric acid , natural flavor, beta carotene",0.0,56.67,0.0,0.0,0.0,0.0,0.0,0.0,33.0,55.0,0.0,233.0
77,"apple and grape juice concentrates, filtered water, pineapple and cherry juice concentrates, natural flavor, ascorbic acid , citric acid",0.0,53.330000000000005,0.0,0.0,0.0,0.0,0.0,0.0,33.0,51.669999999999995,0.0,217.0
78,"apple and grape juices from concentrate , ascorbic acid , natural flavor",0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,9.2,0.0,40.0
79,"apple and grape juices from concentrate , ascorbic acid , natural flavor, fruit and vegetable juice",0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.39,0.0,51.0
80,"apple and grape juices from concentrate , citric acid , natural flavor",11.0,12.43,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,14.0,11.86,0.0,51.0
81,"apple and grape juices from concentrate , natural flavors, ascorbic acid",0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.92,0.0,54.0
82,"apple and grape juices from concentrate , natural flavors, ascorbic acid , citric acid",0.0,12.92,0.0,0.0,0.0,0.0,0.15,0.0,15.0,11.67,0.0,54.0
83,"apple and grape juices from concentrate , natural flavors, ascorbic acid , fruit and vegetable juice",0.0,12.66,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.39,0.0,51.0
84,"apple and orange juices from concentrate, mango pure, banana pure, filtered water, isolated soy protein, 2 tricalcium phosphate, natural flavors, citric acid, beta carotene, carrageenan, agar, zinc gluconate, vitamin b6 and vitamin b12",156.0,12.0,0.0,0.0,0.0,0.2,0.6,4.22,76.0,10.44,0.22,69.0
85,"apple and peach juice from concentrate , mango puree, citric acid, ascorbic acid , pectin, natural flavors, fruit and vegetable juice and beta carotene",0.0,11.81,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.55,0.0,46.0
86,"apple and peach juices from concentrate , mango puree, citric acid, ascorbic acid , pectin, natural flavors, fruit and vegetable juice and beta carotene",0.0,11.81,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.55,0.0,46.0
87,"apple banana spinach lemon powder ginger powder, kale, spirulina extract, turmeric jalapeno powder",153.0,82.22,0.0,0.0,0.0,11.1,4.44,8.89,178.0,51.11,0.0,378.0
88,"apple cider vinaigrette , romaine lettuce, broccoli stalk, red cabbage, savoy cabbage, green onion, carrot, honey roast mini sesame chip , smoked gouda , apple cinnamon puff chip",60.0,12.0,2.5,2.5,0.0,2.0,0.8,2.0,190.0,7.0,12.0,160.0
89,"apple cider vinegar, apple juice, lemon juice, and ginger juice",7.0,10.17,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.39,0.0,42.0
90,"apple cider, water, banana puree, pineapple juice concentrate, mango puree, kiwi puree, contains 05 or less of each of the following natural flavors, citric acid, ascorbic acid, spirulina, chlorella, spinach powder, broccoli powder, broccoli powder, kale powder, parsley powder, blue green algae powder, garlic powder, ginger root extract",2.4,12.12,0.0,0.0,0.0,0.3,0.132,0.61,5.0,10.61,0.0,52.0
91,"apple cider, water, banana puree, pineapple juice from concentrate, mango puree, kiwi puree, contains 05 or less of each of the following: natural flavors, citric acid, ascorbic acid, spirulina, chlorella, spinach powder, broccoli powder, kale powder, parsley powder, blue green algae powder, garlic powder, ginger root extract",3.2,12.08,0.0,0.0,0.0,0.4,0.12,0.42000000000000004,4.0,10.42,0.0,50.0
92,apple juice,1.2142857142857142,12.496875000000001,0.0,0.0,0.0,0.014285714285714287,0.04883928571428571,0.0225,5.098214285714286,11.233303571428573,0.011250000000000001,50.107142857142854
93,apple juice & potassium sorbate,0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.42,0.0,11.25,0.0,50.0
94,"apple juice (water and apple juice concentrate, corn syrup, high fructose corn syrup, fruit pectin, citric acid and sodium citrate",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,250.0
95,"apple juice , ascorbic acid",6.2631578947368425,11.25,0.0,0.0,0.0,0.0,0.05526315789473685,0.1105263157894737,4.631578947368421,10.678947368421053,0.0,47.473684210526315
96,"apple juice , ascorbic acid , l-malic acid",0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,45.0
97,"apple juice , ascorbic acid , malic acid",0.0,11.83,0.0,0.0,0.0,0.0,0.0,0.08399999999999999,3.6,10.336,0.0,46.0
98,"apple juice , cherry juice water cherry juice concentrate) pineapple juice , natural flavors, ascorbic acid",0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.5,0.0,45.0
99,"apple juice , corn syrup, high fructose corn syrup, fruit pectin and citric acid",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,250.0
100,"apple juice , corn syrup, high fructose corn syrup, fruit pectin, citric acid and sodium citrate",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,250.0
101,"apple juice , corn syrup, high fructose corn syrup, fruit pectin, citric acid sodium citrate",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,250.0
102,"apple juice , corn syrup, high fructose corn syrup, fruit pectin, citric acid, sodium citrate",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,250.0
103,"apple juice , corn syrup, high fructose corn syrup, pectin, citric acid, sodium citrate",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,250.0
104,"apple juice , cranberry juice , blackberry juice , pear juice , natural flavors, citric acid , fruit and vegetable extract , ascorbic acid , vitamin a palmitate, vitamin e acetate",0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.83,0.0,46.0
105,"apple juice , cranberry juice , pear juice , fruit and vegetable extract , natural flavors, citric acid , ascorbic acid",0.0,12.08,0.0,0.0,0.0,0.0,0.3,0.0,8.0,11.67,0.0,50.0
106,"apple juice , cranberry juice , pear juice , vegetable color, citric acid , ascorbic acid",0.0,13.330000000000002,0.0,0.0,0.0,0.0,0.24,0.42000000000000004,8.0,12.5,0.0,54.0
107,"apple juice , cranberry juice , pear juice , vegetable extract , citric acid , raspberry juice , natural flavor, ascorbic acid",0.0,11.67,0.0,0.0,0.0,0.0,0.24,0.0,8.0,10.0,0.0,46.0
108,"apple juice , grape juice , cranberry juice , elderberry juice , vegetable concentrate for color, natural flavor, fumaric acid, ascorbic acid , citric acid",0.0,12.92,0.0,0.0,0.0,0.0,0.17,0.0,8.0,11.67,0.0,50.0
109,"apple juice , grape juice , cranberry juice , mango juice , natural flavor, fumaric acid, ascorbic acid , vegetable concentrate for color, gum arabic, ester gum",0.0,12.92,0.0,0.0,0.0,0.0,0.17,0.0,8.0,11.67,0.0,50.0
110,"apple juice , grape juice , cranberry juice , mango juice , natural flavors, fumaric acid, ascorbic acid , vegetable concentrate for color, gum arabic, ester gum",6.857142857142857,12.5,0.0,0.0,0.0,0.0,0.12857142857142856,0.0,6.0,12.5,0.0,50.0
111,"apple juice , grape juice , cranberry juice , pear juice , citric acid , grape skin extract , ascorbic acid",0.0,13.75,0.0,0.0,0.0,0.0,0.3,0.42,10.0,12.92,0.0,56.0
112,"apple juice , grape juice , cranberry juice , pineapple juice , natural flavor, ascorbic acid , fumaric acid, vegetable concentrate for color, gum arabic, ester gum",2.5,13.7525,1.5,0.9375,0.0,0.1,0.24250000000000002,0.3125,30.0,11.67,1.145,64.75
113,"apple juice , grape juice , cranberry juice , pineapple juice , natural flavor, fumaric acid, ascorbic acid , vegetable concentrate for color, gum arabic ester gum",8.0,12.08,0.0,0.0,0.0,0.0,0.15,0.0,8.0,0.0,0.0,46.0
114,"apple juice , grape juice , cranberry juice , pineapple juice , natural flavor, fumaric acid, ascorbic acid , vegetable concentrate for color, gum arabic, ester gum",6.857142857142857,12.08,0.0,0.0,0.0,0.0,0.12857142857142856,0.0,8.0,11.25,0.0,46.0
115,"apple juice , grape juice , cranberry juice , watermelon juice , natural flavor, fumaric acid, ascorbic acid , citric acid, elderberry concentrate , gum arabic, ester gum",0.0,12.92,0.0,0.0,0.0,0.0,0.17,0.0,8.0,11.67,0.0,50.0
116,"apple juice , grape juice , plum juice , pear juice , cranberry juice , pomegranate juice , natural flavor, ascorbic acid , fumaric acid",3.5555555555555554,12.774444444444445,0.0,0.0,0.0,0.0,0.18333333333333332,0.0,7.111111111111111,11.385555555555555,0.0,50.0
117,"apple juice , high fructose corn syrup, corn syrup, contains 2 fruit pectin, citric acid",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,250.0
118,"apple juice , high fructose corn syrup, corn syrup, contains 2 of fruit pectin, citric acid",0.0,65.0,0.0,0.0,0.0,0.0,0.0,3.2142857142857144,0.0,50.0,0.0,250.0
119,"apple juice , high fructose corn syrup, corn syrup, contains 2 or less fruit pectin, citric acid, sodium citrate",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,250.0
120,"apple juice , high fructose corn syrup, corn syrup, pectin, and citric acid",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,0.0,250.0
121,"apple juice , high fructose corn syrup, corn syrup, pectin, citric acid",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,0.0,250.0
122,"apple juice , malic acid, ascorbic acid",0.0,11.211818181818181,0.0,0.0,0.0,0.0,0.0,0.0,5.818181818181818,11.211818181818181,0.0,43.81818181818182
123,"apple juice , mango puree, strawberry juice , natural flavors, citric acid , beta carotene , ascorbic acid , xanthan gum",0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.5,0.0,50.0
124,"apple juice , orange juice , tangerine juice water, tangerine juice concentrate), passionfruit juice water, passionfruit juice concentrate, pear juice , natural flavors, ascorbic acid , beta carotene , citric acid",0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.6,0.0,40.0
125,"apple juice , pear juice , cherry juice , pineapple juice , citric acid , natural flavors, ascorbic acid ,",0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.5,0.0,45.0
126,"apple juice , pear juice , natural flavors, strawberry juice , raspberry juice , citric acid , ascorbic acid",0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.5,0.0,45.0
127,"apple juice , pear juice , pineapple juice , vegetable extract , natural flavor, cherry juice , citric acid , ascorbic acid , calcium gluconate, calcium lactate, vitamin a palmitate, vitamin e acetate",6.0,12.08,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.25,0.0,46.0
128,"apple juice , pineapple juice , mango puree, banana puree, vitamin c, zinc, echinacea, natural flavors, xanthan gum, citric acid, natural fruit and vegetable juice for color",10.0,56.67,0.0,0.0,0.0,3.3,0.0,0.0,0.0,53.33,0.0,233.0
129,"apple juice , strawberry juice , passionfruit juice , natural flavors, fruit and vegetable juice concentrate , ascorbic acid , citric acid",0.0,12.08,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.08,0.0,50.0
130,"apple juice , tart cherry juice , cinnamon",8.0,13.33,0.0,0.0,0.0,0.0,0.15,0.0,0.0,11.67,0.0,54.0
131,"apple juice , watermelon juice , strawberry juice , natural flavors, ascorbic acid , vegetable extract , citric acid",0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,45.0
132,"apple juice , white grape juice , concord grape juice , strawberry juice , raspberry juice , natural flavors, vegetable extract , citric acid , ascorbic acid",0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.08,0.0,50.0
133,"apple juice and grape juice , and 05 of natural flavors, ascorbic acid",0.0,12.08,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.67,0.0,50.0
134,"apple juice and peach juice blend , water, apple puree , whole grain extracts , mango puree, vegetable fiber , contains 05 or less of natural flavors, fruit and vegetable juice for color, citric acid, vitamin c , stevia extract",8.0,12.08,0.0,0.0,0.0,1.7,0.15,0.42,4.0,9.17,0.0,46.0
135,"apple juice celery juice cucumber juice, banana, avocado pulp , spinach juice lemon juice, kale juice, spirulina extract, matcha",14.0,8.47,0.0,0.0,0.0,0.6,0.0,0.85,27.0,6.21,0.85,45.0
136,"apple juice concentrate, corn syrup, high fructose corn syrup, water, sugar, pectin and citric acid",0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,45.0,0.0,250.0
137,"apple juice concentrate, corn syrup, high fructose corn syrup, water, sugar, pectin, citric acid",0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,60.0,0.0,250.0
138,"apple juice concentrate, filtered water, ascorbic acid , malic acid",50.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,45.0,0.0,183.0
139,"apple juice concentrate, filtered water, cranberry juice concentrate, aronia berry juice concentrate, natural flavors, citric acid, ascorbic acid",0.0,51.67,0.0,0.0,0.0,0.0,0.44999999999999996,0.0,42.0,48.33,0.0,200.0
140,"apple juice concentrate, filtered water, grape juice concentrate, citric acid, natural flavors, ascorbic acid , strawberry juice concentrate, rhubarb juice concentrate",0.0,46.13428571428572,0.0,0.0,0.0,0.0,0.45,0.0,37.42857142857143,43.151428571428575,0.0,193.71428571428572
