,ingredients,Calcium,Carbohydrate,Cholesterol,Fatty_acids_total_saturated,Fatty_acids_total_trans,Fiber,Iron,Protein,Sodium,Sugars,Fat,Energy
16932,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid , thiamin hydrochloride , natural flavors, modified cornstarch, canola oil, sodium citrate, cellulose gum, sucralose, acesulfame potassium, neotame, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6",0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,5.5,0.0,20.0
16933,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, ascorbic acid , thiamin hydrochloride , natural & artificial flavors, modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6",0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,56.0,6.25,0.0,25.0
16934,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, ascorbic acid , thiamin hydrochloride , natural flavors, modified cornstarch, canola oil, sodium citrate, cellulose gum, sucralose, acesulfame potassium, neotame, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6",0.0,5.991481481481482,0.0,0.0,0.0,0.0,0.0,0.0,71.11111111111111,5.61,0.0,23.62962962962963
16935,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, ascorbic acid , thiamin hydrochloride , natural flavors, modified cornstarch, canola oil, sodium citrate, cellulose gum, sucralose, acesulfame potassium, neotame, sodium hexametaphosphate, potassium sorbte to protect flavor, yellow #5, yellow #6",0.0,5.830000000000001,0.0,0.0,0.0,0.0,0.0,0.0,67.0,5.830000000000001,0.0,21.0
16936,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, ascorbic acid , thiamin hydrochloride , natural flavors, modified cornstarch, canola oil, sodium citrate, cellulose gum, sucralose, acesulfame potassium, neotame, sodium, hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6",0.0,6.01,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.71,0.0,21.0
16937,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, ascorbic acid , thiamin hydrochloride , natural flavors, sodium citrate, sucralose, acesulfame potassium, neotame, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6, and calcium disodium edta to protect color",0.0,6.21,0.0,0.0,0.0,0.0,0.0,0.0,51.0,5.650000000000001,0.0,23.0
16938,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, ascorbic acid , thiamin hydrochloride vitamin b1), natural flavors, modified cornstarch, canola il, sodium citrate, cellulose gum, sucralose, acesulfame potassium, neotame, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6",0.0,5.83,0.0,0.0,0.0,0.0,0.0,0.0,67.0,5.83,0.0,21.0
16939,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural & artificial flavors, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, red #40, blue #1 and calcium disodium edta to protect color",0.0,6.363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,55.63636363636363,6.117272727272728,0.0,25.0
16940,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural & artificial flavors, modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6, red #40",0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,55.0,5.830000000000001,0.0,25.0
16941,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural & artificial flavors, modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #6, red #40",0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.830000000000001,0.0,25.0
16942,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural and artificial flavors, modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, red #40 and blue #1",0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.830000000000001,0.0,25.0
16943,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural and artificial flavors, modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, red #40, blue #1 and calcium disodium edta to protect color",0.0,6.34,0.0,0.0,0.0,0.0,0.0,0.0,68.0,5.919999999999999,0.0,25.0
16944,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural and artificial flavors, modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6, red #40",0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,54.0,5.830000000000001,0.0,25.0
16945,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural flavor, modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, red #40",0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.83,0.0,25.0
16946,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural flavor, modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #6, red #40",0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.83,0.0,25.0
16947,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural flavors, modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6",0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,56.0,5.83,0.0,25.0
16948,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural flavors, modified cornstarch, canola oil, cellulose gum, sucralose, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6 and calcium disodium edta to protect color",0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,67.0,5.625,0.0,23.0
16949,"water, high fructose corn syrup and 2 or less of each of the following: concentrated juices , citric acid, malic acid, ascorbic acid , thiamin hydrochloride , natural flavors, modified cornstarch, canola oil, sodium citrate, cellulose gum, sucralose, acesulfame potassium, neotame, sodium hexametaphosphate, potassium sorbate to protect flavor, yellow #5, yellow #6",0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,5.0,0.0,25.0
